Genome accession,Genus,Species,Strain,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Replicon_23
GCF_002813755.1_ASM281375v1,Enterococcus,mundtii,DSM_4838,"38,36","34,2",,,,,,,,,,,,,,,,,,,,,
GCF_003957375.1_ASM395737v1,Enterococcus,mundtii,Pe161,"38,49","36,71",,,,,,,,,,,,,,,,,,,,,
GCF_005158285.1_ASM515828v1,Enterococcus,mundtii,Pe103,"38,53","36,68","35,2",,,,,,,,,,,,,,,,,,,,
GCF_013394305.1_ASM1339430v1,Enterococcus,mundtii,15-1A,"38,51","36,05","33,9","35,71",,,,,,,,,,,,,,,,,,,
GCF_019175485.1_ASM1917548v1,Enterococcus,raffinosus,F162_2,"39,47","39,86","33,88",,,,,,,,,,,,,,,,,,,,
GCF_019797905.1_ASM1979790v1,Enterococcus,raffinosus,CX012922,"39,43","39,98",,,,,,,,,,,,,,,,,,,,,
GCF_011397115.1_ASM1139711v1,Enterococcus,saigonensis,VE80,"36,32","36,38","31,36","32,81",,,,,,,,,,,,,,,,,,,
GCF_002393265.1_ASM239326v1,Enterococcus,sp.,FDAARGOS_375,"42,62","35,65","30,37",,,,,,,,,,,,,,,,,,,,
GCF_002850555.1_ASM285055v1,Enterococcus,sp.,CR-Ec1,"42,4","36,48",,,,,,,,,,,,,,,,,,,,,
GCF_003812305.1_ASM381230v1,Enterococcus,sp.,FDAARGOS_553,"40,66","35,13","34,09",,,,,,,,,,,,,,,,,,,,
GCF_005843965.1_ASM584396v1,Enterococcus,sp.,M190262,"40,6","34,33",,,,,,,,,,,,,,,,,,,,,
GCF_008000875.1_ASM800087v1,Enterococcus,sp.,DA9,"38,28","35,83","35,44","34,91","34,93",,,,,,,,,,,,,,,,,,
GCF_023539285.1_ASM2353928v1,Enterococcus,sp.,LX10,"37,62","33,01",,,,,,,,,,,,,,,,,,,,,
GCF_002197645.1_ASM219764v1,Enterococcus,wangshanyuanii,MN05,"37,49","34,26","34,93","35,39","35,65",,,,,,,,,,,,,,,,,,
GCF_000027205.1_ASM2720v1,Erwinia,amylovora,ATCC_49946,"53,6","55,7","50,24",,,,,,,,,,,,,,,,,,,,
GCF_002803865.1_ASM280386v1,Erwinia,amylovora,E-2,"53,6","50,24",,,,,,,,,,,,,,,,,,,,,
GCF_000196615.1_ASM19661v1,Erwinia,billingiae,Eb661,"55,2","52,34","51,74",,,,,,,,,,,,,,,,,,,,
GCF_008728215.1_ASM872821v1,Erwinia,billingiae,TH88,"55,01","56,13",,,,,,,,,,,,,,,,,,,,,
GCF_001517405.1_EM595,Erwinia,gerundensis,,"55,42","55,06","52,28",,,,,,,,,,,,,,,,,,,,
GCF_017815635.1_ASM1781563v1,Erwinia,gerundensis,,"55,35","55,11",,,,,,,,,,,,,,,,,,,,,
GCF_020342335.1_ASM2034233v1,Erwinia,gerundensis,AR,"55,35","55,02","52,71",,,,,,,,,,,,,,,,,,,,
GCF_003485445.1_ASM348544v1,Erwinia,persicina,B64,"55,2","53,94","55,5",,,,,,,,,,,,,,,,,,,,
GCF_019844095.1_ASM1984409v1,Erwinia,persicina,Cp2,"55,53","55,52",,,,,,,,,,,,,,,,,,,,,
GCF_024397315.1_ASM2439731v1,Erwinia,persicina,SR15,"55,46","54,28",,,,,,,,,,,,,,,,,,,,,
GCF_000027265.1_ASM2726v1,Erwinia,pyrifoliae,Ep1/96,"53,42","49,89","53,16","48,96","44,9",,,,,,,,,,,,,,,,,,
GCF_002952315.1_ASM295231v1,Erwinia,pyrifoliae,EpK1/15,"53,41","50,26",,,,,,,,,,,,,,,,,,,,,
GCF_018326325.1_ASM1832632v1,Erwinia,rhapontici,MAFF_311154,"54,13","51,74",,,,,,,,,,,,,,,,,,,,,
GCF_018326345.1_ASM1832634v1,Erwinia,rhapontici,MAFF_311155,"54,11","54,29",,,,,,,,,,,,,,,,,,,,,
GCF_020683125.1_ASM2068312v1,Erwinia,rhapontici,BY21311,"54,09","55,33",,,,,,,,,,,,,,,,,,,,,
GCF_000165815.1_ASM16581v1,Erwinia,sp.,Ejp617,"53,64","49,91","67,73","54,97","68,21","50,2",,,,,,,,,,,,,,,,,
GCF_004551645.1_ASM455164v1,Erwinia,sp.,QL-Z3,"55,1","51,91",,,,,,,,,,,,,,,,,,,,,
GCF_009738185.1_ASM973818v1,Erwinia,sp.,J780,"53,2","50,11",,,,,,,,,,,,,,,,,,,,,
GCF_018141005.1_ASM1814100v1,Erwinia,sp.,E602,"58,85","58,96",,,,,,,,,,,,,,,,,,,,,
GCF_000026185.1_ASM2618v1,Erwinia,tasmaniensis,Et1/99,"53,73","43,73","48,99","50,8","39,98","47,05",,,,,,,,,,,,,,,,,
GCF_021365465.1_ASM2136546v1,Erwinia,tracheiphila,BHKY,"50,51","50,19",,,,,,,,,,,,,,,,,,,,,
GCF_021365485.1_ASM2136548v1,Erwinia,tracheiphila,SCR3,"50,46","52,45","49,17","50,83","56,34","49,72",,,,,,,,,,,,,,,,,
GCF_021365505.1_ASM2136550v1,Erwinia,tracheiphila,BuffGH,"50,58","50,57",,,,,,,,,,,,,,,,,,,,,
GCF_001686985.1_ASM168698v1,Mesorhizobium,amorphae,CCNWGS0123,"63,44","59,61","59,01","58,95","63,94",,,,,,,,,,,,,,,,,,
GCF_000185905.1_ASM18590v1,Mesorhizobium,ciceri,WSM1271,"62,69","60,68",,,,,,,,,,,,,,,,,,,,,
GCF_001618825.1_ASM161882v1,Mesorhizobium,ciceri,CC1192,"62,67","60,47",,,,,,,,,,,,,,,,,,,,,
GCF_001618845.1_ASM161884v1,Mesorhizobium,ciceri,WSM1284,"62,65","60,44",,,,,,,,,,,,,,,,,,,,,
GCF_024371385.1_ASM2437138v1,Mesorhizobium,ciceri,R30,"62,67","59,93",,,,,,,,,,,,,,,,,,,,,
GCF_014189455.1_ASM1418945v1,Mesorhizobium,huakuii,583,"62,95","60,54","60,52","59,91",,,,,,,,,,,,,,,,,,,
GCF_000009625.1_ASM962v1,Mesorhizobium,japonicum,MAFF_303099,"62,75","59,29","59,88",,,,,,,,,,,,,,,,,,,,
GCF_013170785.1_ASM1317078v1,Mesorhizobium,jarvisii,ATCC_33669,"63,01","60,26","59,41",,,,,,,,,,,,,,,,,,,,
GCF_001676765.1_ASM167676v1,Mesorhizobium,loti,NZP2037,"62,93","60,38",,,,,,,,,,,,,,,,,,,,,
GCF_013170865.1_ASM1317086v1,Mesorhizobium,loti,SU343,"63,01","60,26","59,41",,,,,,,,,,,,,,,,,,,,
GCF_001672455.2_ASM167245v2,Mesorhizobium,sp.,WSM1497,"62,58","60,05",,,,,,,,,,,,,,,,,,,,,
GCF_006442545.2_ASM644254v2,Mesorhizobium,sp.,B2-1-8,"62,79","60,64",,,,,,,,,,,,,,,,,,,,,
GCF_006442795.2_ASM644279v2,Mesorhizobium,sp.,B1-1-8,"63,4","61,41",,,,,,,,,,,,,,,,,,,,,
GCF_006442975.2_ASM644297v2,Mesorhizobium,sp.,B2-1-1,"63,3","60,76",,,,,,,,,,,,,,,,,,,,,
GCF_013170745.1_ASM1317074v1,Mesorhizobium,sp.,NZP2077,"62,61","59,5",,,,,,,,,,,,,,,,,,,,,
GCF_013170805.1_ASM1317080v1,Mesorhizobium,sp.,NZP2077,"62,4","59,5",,,,,,,,,,,,,,,,,,,,,
GCF_015500055.1_ASM1550005v1,Mesorhizobium,sp.,NBSH29,"58,68","62,06","61,22","61,32",,,,,,,,,,,,,,,,,,,
GCF_015500075.1_ASM1550007v1,Mesorhizobium,sp.,INR15,"62,15","60,02","60,12","59,2","59,29",,,,,,,,,,,,,,,,,,
GCF_016756495.1_ASM1675649v1,Mesorhizobium,sp.,0113-03-03,"63,14","59,48","59,96",,,,,,,,,,,,,,,,,,,,
GCF_016756535.1_ASM1675653v1,Mesorhizobium,sp.,0131-02-01,"63,72","60,4",,,,,,,,,,,,,,,,,,,,,
GCF_016756555.1_ASM1675655v1,Mesorhizobium,sp.,0131-02-05,"62,89","59,56","58,61","60,14","59,62",,,,,,,,,,,,,,,,,,
GCF_016756575.1_ASM1675657v1,Mesorhizobium,sp.,0131-03-05,"63,12","59,41","60,21",,,,,,,,,,,,,,,,,,,,
GCF_016756595.1_ASM1675659v1,Mesorhizobium,sp.,L-2-11,"62,36","61,5","59,68","60,08",64,,,,,,,,,,,,,,,,,,
GCF_008727715.1_ASM872771v1,Mesorhizobium,terrae,NIBRBAC000500504,"63,26","61,39",,,,,,,,,,,,,,,,,,,,,
GCF_001548015.1_ASM154801v1,Methylobacterium,aquaticum,MA-22A,"71,11","70,89","67,52","67,84","70,33","66,72",,,,,,,,,,,,,,,,,
GCF_016804325.1_ASM1680432v1,Methylobacterium,aquaticum,BG2,"70,14","64,99","61,82","61,46","68,51",,,,,,,,,,,,,,,,,,
GCF_021228015.1_ASM2122801v1,Methylobacterium,currus,TP-3,"70,68","70,11","70,72","63,89","63,26","64,79",,,,,,,,,,,,,,,,,
GCF_017347565.1_ASM1734756v1,Methylobacterium,indicum,VL1,71,"65,42","64,42","65,36","60,34","61,48","64,82",,,,,,,,,,,,,,,,
GCF_000022085.1_ASM2208v1,Methylobacterium,nodulans,ORS_2060,"68,86","65,88","65,65","64,19","61,56","61,37","60,45","67,24",,,,,,,,,,,,,,,
GCF_022533465.1_ASM2253346v1,Methylobacterium,organophilum,WPA_B,"69,86","63,83","67,67",,,,,,,,,,,,,,,,,,,,
GCF_021398735.1_ASM2139873v1,Methylobacterium,oryzae,H33R-06,"71,3","70,71","66,04","60,56","64,33",,,,,,,,,,,,,,,,,,
GCF_001936175.1_ASM193617v1,Methylobacterium,phyllosphaerae,CBMB27,"69,81","63,13","63,25","63,2",,,,,,,,,,,,,,,,,,,
GCF_000019725.1_ASM1972v1,Methylobacterium,radiotolerans,JCM_2831,"71,5","69,55","62,48","63,23","63,69","62,02","61,01","61,06","65,13",,,,,,,,,,,,,,
GCF_021484845.1_ASM2148484v1,Methylobacterium,radiotolerans,NYY1,"71,51","69,06","65,6","64,82","65,98","64,16","65,01","68,94",,,,,,,,,,,,,,,
GCF_003254375.1_ASM325437v1,Methylobacterium,sp.,XJLW,"69,97","66,59",,,,,,,,,,,,,,,,,,,,,
GCF_008000895.1_ASM800089v1,Methylobacterium,sp.,WL1,"69,06","63,79",,,,,,,,,,,,,,,,,,,,,
GCF_023546765.1_ASM2354676v1,Methylobacterium,tardum,DSM_19566,"69,19","65,57",,,,,,,,,,,,,,,,,,,,,
GCF_000829075.1_ASM82907v1,Mycobacterium,avium,TH135,"69,33","66,47",,,,,,,,,,,,,,,,,,,,,
GCF_001865635.4_ASM186563v4,Mycobacterium,avium,OCU464,"69,04","65,62","65,92",,,,,,,,,,,,,,,,,,,,
GCF_002716905.3_ASM271690v4,Mycobacterium,avium,HP17,"69,16","66,77","65,3","65,52",,,,,,,,,,,,,,,,,,,
GCF_002716925.3_ASM271692v3,Mycobacterium,avium,OCU901s_S2_2s,"69,09","64,25","66,5","66,36",,,,,,,,,,,,,,,,,,,
GCF_002716965.3_ASM271696v4,Mycobacterium,avium,OCU873s_P7_4s,"69,2","65,02","65,51",,,,,,,,,,,,,,,,,,,,
GCF_003408535.1_ASM340853v1,Mycobacterium,avium,MAC109,"69,11","65,85","65,75",,,,,,,,,,,,,,,,,,,,
GCF_004345205.2_ASM434520v2,Mycobacterium,avium,mc2_2500,"68,91","65,49","65,93",,,,,,,,,,,,,,,,,,,,
GCF_005518015.1_ASM551801v1,Mycobacterium,avium,101174,"69,2","64,55","65,17",,,,,,,,,,,,,,,,,,,,
GCF_005518055.1_ASM551805v1,Mycobacterium,avium,101115,"69,03","64,58","66,06","65,98","65,4",,,,,,,,,,,,,,,,,,
GCF_009002535.1_ASM900253v1,Mycobacterium,avium,JP-H-1,"68,86","66,28","64,37","65,77",,,,,,,,,,,,,,,,,,,
GCF_010728725.1_ASM1072872v1,Mycobacterium,branderi,JCM_12687,"66,77","64,8",,,,,,,,,,,,,,,,,,,,,
GCF_022370635.1_ASM2237063v1,Mycobacterium,crocinum,JCM_16369,"66,6","65,57",,,,,,,,,,,,,,,,,,,,,
GCF_002157835.1_ASM215783v1,Mycobacterium,dioxanotrophicus,PH-06,"66,53","65,3","64,8","65,57","66,4",,,,,,,,,,,,,,,,,,
GCF_017086405.1_ASM1708640v1,Mycobacterium,gordonae,X7091,"66,73","64,61",,,,,,,,,,,,,,,,,,,,,
GCF_008329645.1_ASM832964v1,Mycobacterium,grossiae,DSM_104744,"70,48","66,24",,,,,,,,,,,,,,,,,,,,,
GCF_000418535.1_ASM41853v2,Mycobacterium,intracellulare,05-1390,"67,95","65,92","66,69",,,,,,,,,,,,,,,,,,,,
GCF_001750065.2_ASM175006v2,Mycobacterium,intracellulare,AH16,"67,8","64,57","64,8","65,97",,,,,,,,,,,,,,,,,,,
GCF_002166795.1_ASM216679v1,Mycobacterium,intracellulare,CDC_2015-22-71,"67,6","65,98",65,"64,85",,,,,,,,,,,,,,,,,,,
GCF_002219245.1_ASM221924v1,Mycobacterium,intracellulare,ZUERICH-2,"67,6","64,98","63,21","64,28","65,77",,,,,,,,,,,,,,,,,,
GCF_002219285.1_ASM221928v1,Mycobacterium,intracellulare,DSM_44623,"67,8","65,42","66,14",,,,,,,,,,,,,,,,,,,,
GCF_002240155.1_ASM224015v1,Mycobacterium,intracellulare,SJ42,"67,79","64,37","65,78",,,,,,,,,,,,,,,,,,,,
GCF_002285675.1_ASM228567v1,Mycobacterium,intracellulare,FLAC0181,"67,93","65,32",,,,,,,,,,,,,,,,,,,,,
GCF_002287605.1_ASM228760v1,Mycobacterium,intracellulare,FLAC0070,"68,03","65,08","65,95",,,,,,,,,,,,,,,,,,,,
GCF_016755935.1_ASM1675593v1,Mycobacterium,intracellulare,M.i.27,"67,57","65,23",,,,,,,,,,,,,,,,,,,,,
GCF_016756075.1_ASM1675607v1,Mycobacterium,intracellulare,M018,"67,98","61,07",,,,,,,,,,,,,,,,,,,,,
GCF_020412425.1_ASM2041242v1,Mycobacterium,intracellulare,852,"67,73","64,57","65,94","65,77","65,11","65,26",,,,,,,,,,,,,,,,,
GCF_000157895.3_ASM15789v2,Mycobacterium,kansasii,ATCC_12478,"66,24","65,77",,,,,,,,,,,,,,,,,,,,,
GCF_021183685.1_ASM2118368v1,Mycobacterium,kansasii,FDAARGOS_1615,"66,24","65,52",,,,,,,,,,,,,,,,,,,,,
GCF_015689175.1_ASM1568917v1,Mycobacterium,kubicae,JCM_13573,"66,02","65,38","64,97",,,,,,,,,,,,,,,,,,,,
GCF_022374895.1_ASM2237489v1,Mycobacterium,lentiflavum,ATCC_51985,"66,04","63,44","65,16","65,13",,,,,,,,,,,,,,,,,,,
GCF_000026445.2_ASM2644v2,Mycobacterium,liflandii,128FXT,"65,62","62,88",,,,,,,,,,,,,,,,,,,,,
GCF_000018345.1_ASM1834v1,Mycobacterium,marinum,M,"65,73","67,86",,,,,,,,,,,,,,,,,,,,,
GCF_000723425.2_E11,Mycobacterium,marinum,E11,"65,77","64,08",,,,,,,,,,,,,,,,,,,,,
GCF_002285715.1_ASM228571v1,Mycobacterium,marseillense,FLAC0026,"67,85","64,34",,,,,,,,,,,,,,,,,,,,,
GCF_010731675.1_ASM1073167v1,Mycobacterium,marseillense,JCM_17324,"67,72","63,95",,,,,,,,,,,,,,,,,,,,,
GCF_019456675.1_ASM1945667v1,Mycobacterium,pallens,JCM_16370,"66,44","64,3","66,27",,,,,,,,,,,,,,,,,,,,
GCF_003614435.1_ASM361443v1,Mycobacterium,paragordonae,49061,"67,03","65,07","64,66","63,67","67,06",,,,,,,,,,,,,,,,,,
GCF_016756055.1_ASM1675605v1,Mycobacterium,paraintracellulare,M011,"68,13","65,41",,,,,,,,,,,,,,,,,,,,,
GCF_022374875.1_ASM2237487v1,Mycobacterium,rufum,JCM_16372,"69,53","66,24",,,,,,,,,,,,,,,,,,,,,
GCF_000328565.1_ASM32856v1,Mycobacterium,sp.,JS623,"65,07","64,92","65,68","67,58",,,,,,,,,,,,,,,,,,,
GCF_001644575.1_ASM164457v1,Mycobacterium,sp.,YC-RL4,"67,48","65,7",,,,,,,,,,,,,,,,,,,,,
GCF_022179425.1_ASM2217942v1,Mycobacterium,sp.,20KCMC460,"67,14","65,66","64,62","65,08","66,5",,,,,,,,,,,,,,,,,,
GCF_022317005.1_ASM2231700v1,Mycobacterium,sp.,,"67,84","65,09",,,,,,,,,,,,,,,,,,,,,
GCF_023515995.1_ASM2351599v1,Mycobacterium,sp.,,"65,72","65,53",,,,,,,,,,,,,,,,,,,,,
GCF_000013925.1_ASM1392v2,Mycobacterium,ulcerans,Agy99,"65,47","62,77",,,,,,,,,,,,,,,,,,,,,
GCF_020150655.1_ASM2015065v1,Mycobacterium,ulcerans,BS123,"65,63","64,15","62,91",,,,,,,,,,,,,,,,,,,,
GCF_020616615.1_ASM2061661v1,Mycobacterium,ulcerans,JKD8049,"65,49","62,81",,,,,,,,,,,,,,,,,,,,,
GCF_000196515.1_ASM19651v1,Nostoc,azollae',708,"38,45","35,68","33,54",,,,,,,,,,,,,,,,,,,,
GCF_023734775.1_ASM2373477v1,Nostoc,cf.,SO-36,"41,41","40,81","40,47","41,25","39,98",,,,,,,,,,,,,,,,,,
GCF_014023275.1_ASM1402327v1,Nostoc,edaphicum,CCNP1411,"41,63","40,97","41,32","40,25","41,63","42,31",,,,,,,,,,,,,,,,,
GCF_002813575.1_ASM281357v1,Nostoc,flagelliforme,CCNUN1,"41,93","41,73","41,34","41,81","40,94","41,46","41,83","42,01","42,52",,,,,,,,,,,,,,
GCF_000020025.1_ASM2002v1,Nostoc,punctiforme,ATCC_29133;_PCC_73102,"41,41","40,51","40,65","40,92","41,45","42,33",,,,,,,,,,,,,,,,,
GCF_000009705.1_ASM970v1,Nostoc,sp.,PCC_7120,"41,35","40,51","40,23","41,03","41,61","40,86","44,18",,,,,,,,,,,,,,,,
GCF_000316645.1_ASM31664v1,Nostoc,sp.,PCC_7524,"41,53","41,12","45,35",,,,,,,,,,,,,,,,,,,,
GCF_001548375.1_ASM154837v1,Nostoc,sp.,NIES-3756,"40,63","40,01","39,42",,,,,,,,,,,,,,,,,,,,
GCF_002896875.1_ASM289687v1,Nostoc,sp.,CENA543,"40,84","39,44","40,76","41,34","41,86","42,47",,,,,,,,,,,,,,,,,
GCF_002949735.1_ASM294973v1,Nostoc,sp.,N6,"41,44","41,09","40,44","41,35","41,4","40,86","40,9","40,99","42,37","36,63","37,41",,,,,,,,,,,,
GCF_002949795.1_ASM294979v1,Nostoc,sp.,5183,"41,62","40,3","42,23","41,99","42,44",,,,,,,,,,,,,,,,,,
GCF_009873495.1_ASM987349v1,Nostoc,sp.,ATCC_53789,"41,43","41,57","40,92","40,97","41,84","42,48","41,72","42,3","39,58","41,24","41,4","40,68",42,,,,,,,,,,
GCF_013393905.1_ASM1339390v1,Nostoc,sp.,C052,"41,61","41,14","41,13","41,52","40,87","41,23","39,7","42,58",41,,,,,,,,,,,,,,
GCF_013393945.1_ASM1339394v1,Nostoc,sp.,TCL26-01,"41,11","41,22","39,65","40,83","41,37","39,65","39,66","37,95",,,,,,,,,,,,,,,
GCF_019976755.1_ASM1997675v1,Nostoc,sp.,MS1,"40,54","40,04","40,76","40,68","39,35",42,,,,,,,,,,,,,,,,,
GCF_022063185.1_ASM2206318v1,Nostoc,sp.,UHCC_0870,"40,98","40,37","41,18","41,1","41,7","41,21","40,18","41,04","42,29","42,21","41,26","41,36",,,,,,,,,,,
GCF_003443655.1_ASM344365v1,Nostoc,sphaeroides,Kutzing_En,"41,63","40,81","40,86","40,84","40,41",,,,,,,,,,,,,,,,,,
GCF_009372195.1_ASM937219v1,Nostoc,sphaeroides,,"41,64","40,75","40,06","40,18","42,55","42,02","40,25","40,1","42,64",,,,,,,,,,,,,,
GCF_000013325.1_ASM1332v1,Novosphingobium,aromaticivorans,DSM_12444,"65,15","65,9","62,25",,,,,,,,,,,,,,,,,,,,
GCF_018417475.1_ASM1841747v1,Novosphingobium,decolorationis,502str22,"65,6","61,69",,,,,,,,,,,,,,,,,,,,,
GCF_000767465.1_ASM76746v1,Novosphingobium,pentaromativorans,US6-1,"63,5","61,44","62,4","62,6","61,06","60,29",,,,,,,,,,,,,,,,,
GCF_001742225.1_ASM174222v1,Novosphingobium,resinovorum,SA1,"65,63","65,27","63,01","61,38","62,54",,,,,,,,,,,,,,,,,,
GCF_000253255.1_ASM25325v1,Novosphingobium,sp.,PP1Y,"63,71","62,32","60,71","60,12",,,,,,,,,,,,,,,,,,,
GCF_000876675.2_ASM87667v2,Novosphingobium,sp.,P6W,"64,71","63,44","60,95","58,26",,,,,,,,,,,,,,,,,,,
GCF_003454795.1_ASM345479v1,Novosphingobium,sp.,THN1,"63,6","63,19",,,,,,,,,,,,,,,,,,,,,
GCF_005145025.1_ASM514502v1,Novosphingobium,sp.,EMRT-2,"66,05","66,46","63,52","61,35","64,09",,,,,,,,,,,,,,,,,,
GCF_015169775.1_ASM1516977v1,Novosphingobium,sp.,ES2-1,"63,55","64,04","59,94","62,77","63,33",,,,,,,,,,,,,,,,,,
GCF_017309955.1_ASM1730995v1,Novosphingobium,sp.,KA1,"65,76","64,74","62,89",,,,,,,,,,,,,,,,,,,,
GCF_001421015.2_ASM142101v2,Paenibacillus,bovis,BD3526,"47,29","44,64",,,,,,,,,,,,,,,,,,,,,
GCF_009363115.1_ASM936311v1,Paenibacillus,brasilensis,KACC_13842,"46,13","40,4",,,,,,,,,,,,,,,,,,,,,
GCF_013347265.1_ASM1334726v1,Paenibacillus,cellulosilyticus,KACC_14175,"50,32","50,56","50,74","46,8","51,12",,,,,,,,,,,,,,,,,,
GCF_009363095.1_ASM936309v1,Paenibacillus,cellulositrophicus,KACC_16577,"53,09","52,76",,,,,,,,,,,,,,,,,,,,,
GCF_001857945.1_ASM185794v1,Paenibacillus,crassostreae,LPB0068,40,"37,24","38,44","38,23",,,,,,,,,,,,,,,,,,,
GCF_000756615.1_ASM75661v1,Paenibacillus,durus,DSM_1735,"50,81","49,05",,,,,,,,,,,,,,,,,,,,,
GCF_009363075.1_ASM936307v1,Paenibacillus,guangzhouensis,KCTC_33171,"47,48","51,18",,,,,,,,,,,,,,,,,,,,,
GCF_000511405.1_ASM51140v1,Paenibacillus,larvae,DSM_25430,"44,98","37,14",,,,,,,,,,,,,,,,,,,,,
GCF_002007765.1_ASM200776v1,Paenibacillus,larvae,ATCC_13537,"44,26","39,76","39,88",,,,,,,,,,,,,,,,,,,,
GCF_002082155.1_ASM208215v1,Paenibacillus,larvae,SAG_10367,"44,09","32,37",,,,,,,,,,,,,,,,,,,,,
GCF_002951895.1_ASM295189v1,Paenibacillus,larvae,DSM_25430;_ERIC_II,"45,04","43,11","37,14",,,,,,,,,,,,,,,,,,,,
GCF_002951915.1_ASM295191v1,Paenibacillus,larvae,Eric_III,"44,23","38,58","39,77","39,89",,,,,,,,,,,,,,,,,,,
GCF_011220525.1_PaenibacERICV_HGAP3_2SC,Paenibacillus,larvae,Eric_V,"44,13","39,24","38,88",,,,,,,,,,,,,,,,,,,,
GCF_003590055.1_ASM359005v1,Paenibacillus,lautus,E7593-69,"51,17","40,59",,,,,,,,,,,,,,,,,,,,,
GCF_001272655.2_ASM127265v2,Paenibacillus,peoriae,HS311,"45,72","39,11",,,,,,,,,,,,,,,,,,,,,
GCF_014692735.1_ASM1469273v1,Paenibacillus,peoriae,ZF390,"44,96","45,58","41,66","45,12",,,,,,,,,,,,,,,,,,,
GCF_000164985.3_ASM16498v2,Paenibacillus,polymyxa,SC2,"45,24","37,61",,,,,,,,,,,,,,,,,,,,,
GCF_000237325.1_ASM23732v1,Paenibacillus,polymyxa,M1,"45,16","38,38",,,,,,,,,,,,,,,,,,,,,
GCF_000819665.1_ASM81966v1,Paenibacillus,polymyxa,Sb3-1,"45,51","42,01","45,01",,,,,,,,,,,,,,,,,,,,
GCF_006274405.1_ASM627440v1,Paenibacillus,polymyxa,ZF129,"45,44","42,3","42,12",,,,,,,,,,,,,,,,,,,,
GCF_007858415.1_ASM785841v1,Paenibacillus,polymyxa,ZF197,"45,56","44,8",,,,,,,,,,,,,,,,,,,,,
GCF_015710815.1_ASM1571081v1,Paenibacillus,polymyxa,2020,"45,08","41,75",,,,,,,,,,,,,,,,,,,,,
GCF_023586645.1_ASM2358664v1,Paenibacillus,polymyxa,R_3.13,"45,56","44,99",,,,,,,,,,,,,,,,,,,,,
GCF_023586705.1_ASM2358670v1,Paenibacillus,polymyxa,R_5.31,"45,5","41,52",,,,,,,,,,,,,,,,,,,,,
GCF_023586745.1_ASM2358674v1,Paenibacillus,polymyxa,O_1.27,"45,53","45,94","53,08",,,,,,,,,,,,,,,,,,,,
GCF_023586805.1_ASM2358680v1,Paenibacillus,polymyxa,O_2.11,"45,53","45,43",,,,,,,,,,,,,,,,,,,,,
GCF_010365285.1_ASM1036528v1,Paenibacillus,rhizovicinus,14171R-81,"54,98","47,14",50,,,,,,,,,,,,,,,,,,,,
GCF_016772475.1_ASM1677247v1,Paenibacillus,sonchi,LMG_24727,"50,76","44,74","49,85",,,,,,,,,,,,,,,,,,,,
GCF_000949425.1_ASM94942v1,Paenibacillus,sp.,IHBB_10380,"41,34","39,18",,,,,,,,,,,,,,,,,,,,,
GCF_001447315.1_ASM144731v1,Paenibacillus,sp.,IHB_B_3084,"46,86","45,86","48,05","46,64","46,21","43,71","46,08",,,,,,,,,,,,,,,,
GCF_002243345.2_ASM224334v3,Paenibacillus,sp.,RUD330,"59,07","47,54",,,,,,,,,,,,,,,,,,,,,
GCF_003184205.1_ASM318420v1,Paenibacillus,sp.,Cedars,49,"40,63","48,72",,,,,,,,,,,,,,,,,,,,
GCF_008386395.1_ASM838639v1,Paenibacillus,sp.,37,"46,1","39,63",,,,,,,,,,,,,,,,,,,,,
GCF_014863545.1_ASM1486354v1,Paenibacillus,sp.,JNUCC-32,"51,26","51,98",,,,,,,,,,,,,,,,,,,,,
GCF_021513275.1_ASM2151327v1,Paenibacillus,sp.,YPD9-1,"47,61","48,34",,,,,,,,,,,,,,,,,,,,,
GCF_001908275.1_ASM190827v1,Paenibacillus,xylanexedens,PAMC_22703,"45,95","44,14",,,,,,,,,,,,,,,,,,,,,
GCF_001709315.1_ASM170931v1,Pantoea,agglomerans,C410P1,"55,54","53,24","52,32","52,44",,,,,,,,,,,,,,,,,,,
GCF_003704305.1_ASM370430v1,Pantoea,agglomerans,TH81,"55,17","53,69","52,3","48,87",,,,,,,,,,,,,,,,,,,
GCF_003860325.1_ASM386032v1,Pantoea,agglomerans,L15,"55,58","52,96","52,97","50,41",,,,,,,,,,,,,,,,,,,
GCF_004117135.1_ASM411713v1,Pantoea,agglomerans,CFSAN047154,"55,6","53,21","51,91","50,69","56,5",,,,,,,,,,,,,,,,,,
GCF_017474165.1_ASM1747416v1,Pantoea,agglomerans,AR1a,"55,24","53,27","52,94","55,31","50,1",,,,,,,,,,,,,,,,,,
GCF_019880205.1_ASM1988020v1,Pantoea,agglomerans,CQ10,"55,45","51,92","52,33","52,57","55,59","50,72","40,71","62,24","47,82",,,,,,,,,,,,,,
GCF_002101395.1_ASM210139v1,Pantoea,alhagi,LTYR-11Z,"53,57","50,21",,,,,,,,,,,,,,,,,,,,,
GCF_000283875.1_ASM28387v1,Pantoea,ananatis,LMG_5342,"53,45","51,47",,,,,,,,,,,,,,,,,,,,,
GCF_001543055.1_ASM154305v1,Pantoea,ananatis,R100,"53,73","52,18",,,,,,,,,,,,,,,,,,,,,
