,Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
3294,Bacteria,,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,GCF_000026185.1_ASM2618v1,Erwinia,tasmaniensis,Et1/99,3883467,48751.0,46159.0,44694.0,35494.0,9299.0,,,,,,,,,,,,,,,,,,4067864_total
2521,Bacteria,,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,GCF_021365465.1_ASM2136546v1,Erwinia,tracheiphila,BHKY,4920713,37808.0,,,,,,,,,,,,,,,,,,,,,,4958521_total
2522,Bacteria,,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,GCF_021365485.1_ASM2136548v1,Erwinia,tracheiphila,SCR3,4815509,68396.0,39626.0,35983.0,8238.0,7022.0,,,,,,,,,,,,,,,,,,4974774_total
2523,Bacteria,,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,GCF_021365505.1_ASM2136550v1,Erwinia,tracheiphila,BuffGH,4938018,40835.0,,,,,,,,,,,,,,,,,,,,,,4978853_total
3896,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_001686985.1_ASM168698v1,Mesorhizobium,amorphae,CCNWGS0123,6268270,948568.0,102093.0,17414.0,7607.0,,,,,,,,,,,,,,,,,,,7343952_total
2361,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_001618825.1_ASM161882v1,Mesorhizobium,ciceri,CC1192,6295397,648231.0,,,,,,,,,,,,,,,,,,,,,,6943628_total
2362,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_024371385.1_ASM2437138v1,Mesorhizobium,ciceri,R30,6489234,457705.0,,,,,,,,,,,,,,,,,,,,,,6946939_total
3051,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_001618845.1_ASM161884v1,Mesorhizobium,ciceri,WSM1284,6326813,553641.0,,,,,,,,,,,,,,,,,,,,,,6880454_total
3776,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_000185905.1_ASM18590v1,Mesorhizobium,ciceri,WSM1271,6264489,425539.0,,,,,,,,,,,,,,,,,,,,,,6690028_total
2082,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_014189455.1_ASM1418945v1,Mesorhizobium,huakuii,583,7120066,686467.0,331450.0,311263.0,,,,,,,,,,,,,,,,,,,,8449246_total
3037,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_000009625.1_ASM962v1,Mesorhizobium,japonicum,MAFF_303099,7036071,351911.0,208315.0,,,,,,,,,,,,,,,,,,,,,7596297_total
4398,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_013170785.1_ASM1317078v1,Mesorhizobium,jarvisii,ATCC_33669,6934624,242663.0,23770.0,,,,,,,,,,,,,,,,,,,,,7201057_total
184,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_013170865.1_ASM1317086v1,Mesorhizobium,loti,SU343,6934480,242663.0,23770.0,,,,,,,,,,,,,,,,,,,,,7200913_total
3818,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_001676765.1_ASM167676v1,Mesorhizobium,loti,NZP2037,7007326,474413.0,,,,,,,,,,,,,,,,,,,,,,7481739_total
3052,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_001672455.2_ASM167245v2,Mesorhizobium,sp.,WSM1497,6666492,531629.0,,,,,,,,,,,,,,,,,,,,,,7198121_total
4614,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_013170745.1_ASM1317074v1,Mesorhizobium,sp.,NZP2077,6830091,364809.0,,,,,,,,,,,,,,,,,,,,,,7194900_total
4615,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_013170805.1_ASM1317080v1,Mesorhizobium,sp.,NZP2077,7325125,364822.0,,,,,,,,,,,,,,,,,,,,,,7689947_total
4689,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_006442545.2_ASM644254v2,Mesorhizobium,sp.,B2-1-8,6376129,494461.0,,,,,,,,,,,,,,,,,,,,,,6870590_total
4690,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_006442975.2_ASM644297v2,Mesorhizobium,sp.,B2-1-1,5723266,460611.0,,,,,,,,,,,,,,,,,,,,,,6183877_total
4691,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_006442795.2_ASM644279v2,Mesorhizobium,sp.,B1-1-8,5693803,494404.0,,,,,,,,,,,,,,,,,,,,,,6188207_total
4730,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_015500075.1_ASM1550007v1,Mesorhizobium,sp.,INR15,6667022,389300.0,305508.0,53938.0,42856.0,,,,,,,,,,,,,,,,,,,7458624_total
4731,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_015500055.1_ASM1550005v1,Mesorhizobium,sp.,NBSH29,3644270,140849.0,118320.0,104117.0,,,,,,,,,,,,,,,,,,,,4007556_total
4827,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_016756495.1_ASM1675649v1,Mesorhizobium,sp.,113-3-3,7099133,353699.0,278231.0,,,,,,,,,,,,,,,,,,,,,7731063_total
4829,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_016756535.1_ASM1675653v1,Mesorhizobium,sp.,131-2-1,6822576,285993.0,,,,,,,,,,,,,,,,,,,,,,7108569_total
4830,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_016756555.1_ASM1675655v1,Mesorhizobium,sp.,131-2-5,7075387,309689.0,296424.0,237126.0,75276.0,,,,,,,,,,,,,,,,,,,7993902_total
4831,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_016756575.1_ASM1675657v1,Mesorhizobium,sp.,131-3-5,6660578,654771.0,254798.0,,,,,,,,,,,,,,,,,,,,,7570147_total
4832,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_016756595.1_ASM1675659v1,Mesorhizobium,sp.,L-2-11,6652372,287750.0,247505.0,171753.0,56663.0,,,,,,,,,,,,,,,,,,,7416043_total
4799,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,,GCF_008727715.1_ASM872771v1,Mesorhizobium,terrae,NIBRBAC000500504,5731152,293638.0,,,,,,,,,,,,,,,,,,,,,,6024790_total
3041,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_001548015.1_ASM154801v1,Methylobacterium,aquaticum,MA-22A,5348274,1571989.0,462889.0,85702.0,50170.0,38936.0,,,,,,,,,,,,,,,,,,7557960_total
3042,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_016804325.1_ASM1680432v1,Methylobacterium,aquaticum,BG2,6988191,146795.0,66072.0,40707.0,38021.0,,,,,,,,,,,,,,,,,,,7279786_total
4529,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_021228015.1_ASM2122801v1,Methylobacterium,currus,TP-3,6230972,764097.0,463616.0,200335.0,46017.0,35011.0,,,,,,,,,,,,,,,,,,7740048_total
4396,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_017347565.1_ASM1734756v1,Methylobacterium,indicum,VL1,6554591,153568.0,128167.0,113981.0,36553.0,34345.0,31542.0,,,,,,,,,,,,,,,,,7052747_total
3291,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_000022085.1_ASM2208v1,Methylobacterium,nodulans,ORS_2060,7772460,487734.0,458070.0,40463.0,37542.0,20286.0,12638.0,9829.0,,,,,,,,,,,,,,,,8839022_total
238,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_022533465.1_ASM2253346v1,Methylobacterium,organophilum,WPA_B,5247103,37085.0,35592.0,,,,,,,,,,,,,,,,,,,,,5319780_total
3152,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_021398735.1_ASM2139873v1,Methylobacterium,oryzae,H33R-06,5981570,456912.0,116758.0,49778.0,47301.0,,,,,,,,,,,,,,,,,,,6652319_total
3237,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_001936175.1_ASM193617v1,Methylobacterium,phyllosphaerae,CBMB27,6083998,144167.0,52290.0,36169.0,,,,,,,,,,,,,,,,,,,,6316624_total
2303,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_021484845.1_ASM2148484v1,Methylobacterium,radiotolerans,NYY1,5946469,657971.0,49697.0,48959.0,48551.0,44635.0,39278.0,17673.0,,,,,,,,,,,,,,,,6853233_total
3246,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_000019725.1_ASM1972v1,Methylobacterium,radiotolerans,JCM_2831,6077833,586164.0,47003.0,42985.0,37743.0,36410.0,27836.0,22114.0,21022.0,,,,,,,,,,,,,,,6899110_total
3760,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_003254375.1_ASM325437v1,Methylobacterium,sp.,XJLW,6498073,168543.0,,,,,,,,,,,,,,,,,,,,,,6666616_total
4710,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_008000895.1_ASM800089v1,Methylobacterium,sp.,WL1,6215463,35731.0,,,,,,,,,,,,,,,,,,,,,,6251194_total
3194,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,,GCF_023546765.1_ASM2354676v1,Methylobacterium,tardum,DSM_19566,6894209,47352.0,,,,,,,,,,,,,,,,,,,,,,6941561_total
3251,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_001865635.4_ASM186563v4,Mycobacterium,avium,OCU464,5178488,78493.0,18892.0,,,,,,,,,,,,,,,,,,,,,5275873_total
3254,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002716905.3_ASM271690v4,Mycobacterium,avium,HP17,5100596,150076.0,24802.0,15934.0,,,,,,,,,,,,,,,,,,,,5291408_total
3255,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002716925.3_ASM271692v3,Mycobacterium,avium,OCU901s_S2_2s,5186797,343811.0,195724.0,12992.0,,,,,,,,,,,,,,,,,,,,5739324_total
3256,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002716965.3_ASM271696v4,Mycobacterium,avium,OCU873s_P7_4s,5017982,396301.0,15936.0,,,,,,,,,,,,,,,,,,,,,5430219_total
3257,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_003408535.1_ASM340853v1,Mycobacterium,avium,MAC109,5188883,147100.0,16516.0,,,,,,,,,,,,,,,,,,,,,5352499_total
3258,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_004345205.2_ASM434520v2,Mycobacterium,avium,mc2_2500,5429743,22273.0,18294.0,,,,,,,,,,,,,,,,,,,,,5470310_total
3259,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_005518015.1_ASM551801v1,Mycobacterium,avium,101174,5101624,41509.0,24608.0,,,,,,,,,,,,,,,,,,,,,5167741_total
3261,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_005518055.1_ASM551805v1,Mycobacterium,avium,101115,5254673,40211.0,35282.0,35197.0,28349.0,,,,,,,,,,,,,,,,,,,5393712_total
3262,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_009002535.1_ASM900253v1,Mycobacterium,avium,JP-H-1,5491452,191151.0,39206.0,13441.0,,,,,,,,,,,,,,,,,,,,5735250_total
4027,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000829075.1_ASM82907v1,Mycobacterium,avium,TH135,4951217,194711.0,,,,,,,,,,,,,,,,,,,,,,5145928_total
2374,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_010728725.1_ASM1072872v1,Mycobacterium,branderi,JCM_12687,5115366,864257.0,,,,,,,,,,,,,,,,,,,,,,5979623_total
3204,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_022370635.1_ASM2237063v1,Mycobacterium,crocinum,JCM_16369,5965861,199256.0,,,,,,,,,,,,,,,,,,,,,,6165117_total
3314,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002157835.1_ASM215783v1,Mycobacterium,dioxanotrophicus,PH-06,7595921,155598.0,152685.0,106337.0,69875.0,,,,,,,,,,,,,,,,,,,8080416_total
1954,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_017086405.1_ASM1708640v1,Mycobacterium,gordonae,X7091,7103222,216348.0,,,,,,,,,,,,,,,,,,,,,,7319570_total
4298,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_008329645.1_ASM832964v1,Mycobacterium,grossiae,DSM_104744,5637923,43679.0,,,,,,,,,,,,,,,,,,,,,,5681602_total
1651,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002285675.1_ASM228567v1,Mycobacterium,intracellulare,FLAC0181,5613941,24702.0,,,,,,,,,,,,,,,,,,,,,,5638643_total
1653,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_016755935.1_ASM1675593v1,Mycobacterium,intracellulare,M.i.27,5921363,26019.0,,,,,,,,,,,,,,,,,,,,,,5947382_total
1655,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_016756075.1_ASM1675607v1,Mycobacterium,intracellulare,M018,5521719,51089.0,,,,,,,,,,,,,,,,,,,,,,5572808_total
2964,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_001750065.2_ASM175006v2,Mycobacterium,intracellulare,AH16,5852822,437571.0,25131.0,14512.0,,,,,,,,,,,,,,,,,,,,6330036_total
2965,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002166795.1_ASM216679v1,Mycobacterium,intracellulare,CDC_2015-22-71,6078402,97268.0,39887.0,32137.0,,,,,,,,,,,,,,,,,,,,6247694_total
2966,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002219245.1_ASM221924v1,Mycobacterium,intracellulare,ZUERICH-2,6150513,175972.0,154060.0,38049.0,15059.0,,,,,,,,,,,,,,,,,,,6533653_total
2968,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002219285.1_ASM221928v1,Mycobacterium,intracellulare,DSM_44623,5865644,157126.0,110830.0,,,,,,,,,,,,,,,,,,,,,6133600_total
2969,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002240155.1_ASM224015v1,Mycobacterium,intracellulare,SJ42,5891614,33560.0,13458.0,,,,,,,,,,,,,,,,,,,,,5938632_total
2970,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002287605.1_ASM228760v1,Mycobacterium,intracellulare,FLAC0070,5408332,247522.0,95687.0,,,,,,,,,,,,,,,,,,,,,5751541_total
2973,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_020412425.1_ASM2041242v1,Mycobacterium,intracellulare,852,5971317,322178.0,95688.0,26921.0,21123.0,15917.0,,,,,,,,,,,,,,,,,,6453144_total
3946,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000418535.1_ASM41853v2,Mycobacterium,intracellulare,05-1390,5521023,122976.0,18089.0,,,,,,,,,,,,,,,,,,,,,5662088_total
1672,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_021183685.1_ASM2118368v1,Mycobacterium,kansasii,FDAARGOS_1615,6436818,18376.0,,,,,,,,,,,,,,,,,,,,,,6455194_total
3604,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000157895.3_ASM15789v2,Mycobacterium,kansasii,ATCC_12478,6432277,144951.0,,,,,,,,,,,,,,,,,,,,,,6577228_total
2794,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_015689175.1_ASM1568917v1,Mycobacterium,kubicae,JCM_13573,5958133,30582.0,28122.0,,,,,,,,,,,,,,,,,,,,,6016837_total
2848,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_022374895.1_ASM2237489v1,Mycobacterium,lentiflavum,ATCC_51985,5901792,224738.0,21111.0,15922.0,,,,,,,,,,,,,,,,,,,,6163563_total
3289,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000026445.2_ASM2644v2,Mycobacterium,liflandii,128FXT,6208955,190588.0,,,,,,,,,,,,,,,,,,,,,,6399543_total
2959,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000018345.1_ASM1834v1,Mycobacterium,marinum,M,6636827,23317.0,,,,,,,,,,,,,,,,,,,,,,6660144_total
3926,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000723425.2_E11,Mycobacterium,marinum,E11,6336293,114229.0,,,,,,,,,,,,,,,,,,,,,,6450522_total
3737,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_002285715.1_ASM228571v1,Mycobacterium,marseillense,FLAC0026,5266037,19605.0,,,,,,,,,,,,,,,,,,,,,,5285642_total
3738,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_010731675.1_ASM1073167v1,Mycobacterium,marseillense,JCM_17324,5487849,17972.0,,,,,,,,,,,,,,,,,,,,,,5505821_total
3191,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_019456675.1_ASM1945667v1,Mycobacterium,pallens,JCM_16370,6035548,29753.0,28250.0,,,,,,,,,,,,,,,,,,,,,6093551_total
4174,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_003614435.1_ASM361443v1,Mycobacterium,paragordonae,49061,6730319,305730.0,144093.0,26922.0,17187.0,,,,,,,,,,,,,,,,,,,7224251_total
3943,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_016756055.1_ASM1675605v1,Mycobacterium,paraintracellulare,M011,5332910,24702.0,,,,,,,,,,,,,,,,,,,,,,5357612_total
3125,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_022374875.1_ASM2237487v1,Mycobacterium,rufum,JCM_16372,5750471,264021.0,,,,,,,,,,,,,,,,,,,,,,6014492_total
2956,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000328565.1_ASM32856v1,Mycobacterium,sp.,JS623,6464916,394147.0,198589.0,164114.0,,,,,,,,,,,,,,,,,,,,7221766_total
4356,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_001644575.1_ASM164457v1,Mycobacterium,sp.,YC-RL4,5801417,252568.0,,,,,,,,,,,,,,,,,,,,,,6053985_total
5008,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_022317005.1_ASM2231700v1,Mycobacterium,sp.,,4980651,191242.0,,,,,,,,,,,,,,,,,,,,,,5171893_total
5051,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_022179425.1_ASM2217942v1,Mycobacterium,sp.,20KCMC460,6264831,380354.0,39499.0,22887.0,21472.0,,,,,,,,,,,,,,,,,,,6729043_total
5100,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_023515995.1_ASM2351599v1,Mycobacterium,sp.,,4719641,282730.0,,,,,,,,,,,,,,,,,,,,,,5002371_total
1967,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_020150655.1_ASM2015065v1,Mycobacterium,ulcerans,BS123,6094458,132801.0,102676.0,,,,,,,,,,,,,,,,,,,,,6329935_total
1968,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_020616615.1_ASM2061661v1,Mycobacterium,ulcerans,JKD8049,5627534,161798.0,,,,,,,,,,,,,,,,,,,,,,5789332_total
3185,Bacteria,Terrabacteria group,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,GCF_000013925.1_ASM1392v2,Mycobacterium,ulcerans,Agy99,5631606,174155.0,,,,,,,,,,,,,,,,,,,,,,5805761_total
3591,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_000196515.1_ASM19651v1,Nostoc,azollae',0708,5354700,109570.0,21875.0,,,,,,,,,,,,,,,,,,,,,5486145_total
3280,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_023734775.1_ASM2373477v1,Nostoc,cf.,SO-36,6802717,271158.0,228652.0,69903.0,35832.0,,,,,,,,,,,,,,,,,,,7408262_total
4252,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_014023275.1_ASM1402327v1,Nostoc,edaphicum,CCNP1411,7733505,264855.0,120515.0,99098.0,53840.0,44503.0,,,,,,,,,,,,,,,,,,8316316_total
4522,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_002813575.1_ASM281357v1,Nostoc,flagelliforme,CCNUN1,8363872,805120.0,327173.0,239322.0,152318.0,144585.0,101520.0,68844.0,28479.0,,,,,,,,,,,,,,,10231233_total
2516,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_000020025.1_ASM2002v1,Nostoc,punctiforme,ATCC_29133;_PCC_73102,8234322,354564.0,254918.0,123028.0,65940.0,26419.0,,,,,,,,,,,,,,,,,,9059191_total
2074,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_000316645.1_ASM31664v1,Nostoc,sp.,PCC_7524,6635030,77478.0,6361.0,,,,,,,,,,,,,,,,,,,,,6718869_total
2587,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_009873495.1_ASM987349v1,Nostoc,sp.,ATCC_53789,7340101,337072.0,325114.0,219530.0,65222.0,57504.0,56077.0,54032.0,49561.0,40105.0,38437.0,36221.0,34754.0,,,,,,,,,,,8653730_total
2745,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_000009705.1_ASM970v1,Nostoc,sp.,PCC_7120,6413771,408101.0,186614.0,101965.0,55414.0,40340.0,5584.0,,,,,,,,,,,,,,,,,7211789_total
4063,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_002949735.1_ASM294973v1,Nostoc,sp.,N6,8214648,213966.0,167441.0,66996.0,44778.0,44777.0,41255.0,30992.0,29551.0,22270.0,21916.0,,,,,,,,,,,,,8898590_total
4318,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_002949795.1_ASM294979v1,Nostoc,sp.,5183,7061466,121770.0,63064.0,58727.0,34881.0,,,,,,,,,,,,,,,,,,,7339908_total
4385,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_001548375.1_ASM154837v1,Nostoc,sp.,NIES-3756,6463965,447304.0,76302.0,,,,,,,,,,,,,,,,,,,,,6987571_total
4435,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_002896875.1_ASM289687v1,Nostoc,sp.,CENA543,6990729,67080.0,44065.0,41078.0,34165.0,30523.0,,,,,,,,,,,,,,,,,,7207640_total
4664,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,,Nostocales,Nostocaceae,,GCF_013393905.1_ASM1339390v1,Nostoc,sp.,C052,7828336,541557.0,336425.0,298931.0,278779.0,232629.0,223442.0,95441.0,44291.0,,,,,,,,,,,,,,,9879831_total
